Strain,Sex,Age,ID,ALB g/dL,ALT IU/L,BUN mg/dL,CAL mg/dL,CHOL mg/dL,GLU mg/dL,HDLX mg/dL,PHOS mg/dL,T4 ug/dL,TP g/dL,TRIG mg/dL,NA mmol/L,K mmol/L,CL mmol/L,NEFA mEq/L,LDLD mg/dL,CO2 mmol/L,,
5557,M,8,28,3.0,24,26.0,10.3,113,236,88.9,8.9,5.9,5.3,189,150.8,4.60,118.2,1.4,1.63,22.1,,
5557,M,8,29,3.0,28,29.0,11.0,115,297,87.3,10.7,6.5,5.3,249,157.9,4.93,120.7,1.48,1.57,25.5,,
5557,M,8,30,3.1,27,27.0,11.6,116,219,89.1,11.7,8.4,5.5,173,141.9,4.65,124.5,1.19,1.8,23.6,,
5557,M,8,31,3.0,25,23.0,10.8,117,275,90.9,10.2,7.8,5.3,133,153.3,5.88,119.7,1.01,1.62,24.6,,
5557,M,8,32,2.8,24,22.0,10.0,105,224,81.4,9.1,6.8,5.0,127,144.6,5.30,115.6,1,1.78,20,,
5557,M,8,33,2.8,26,20.0,10.3,109,261,82.2,9.0,7.6,5.0,140,143.2,5.37,116.9,1.37,2.31,19.6,,
5557,M,8,34,3.0,24,22.0,10.4,104,205,80.0,9.9,6.9,5.1,135,148.4,4.98,119.1,1.18,2.17,22.5,,
5557,M,8,35,2.9,26,24.0,10.7,110,191,84.9,11.2,6.0,5.1,127,147.8,5.37,120.4,0.9,2.07,21.7,,
5557,M,8,36,3.0,24,23.0,10.4,109,231,80.9,8.7,6.4,5.2,169,147.9,5.01,118.0,1.21,1.96,22.7,,
5557,M,8,37,3.2,23,24.0,10.7,121,270,91.8,8.4,7.3,5.5,186,151.2,5.21,122.1,1.06,1.93,23.6,,
5557,M,8,38,2.9,23,25.0,10.3,106,294,83.0,9.0,6.9,5.1,122,148.8,5.13,121.9,1.12,1.22,18.4,,
5557,M,8,39,3.0,23,23.0,10.4,107,286,81.2,7.9,6.8,5.2,152,142.8,5.15,116.8,1.43,1.44,20.9,,
5557,M,8,40,2.9,26,24.0,10.5,107,242,79.6,9.6,7.2,5.1,167,143.6,5.16,119.4,1.27,1.82,17.5,,
5557,F,16,1,3.5,23,26,10.7,77,266,58.5,6.4,6.5,5.6,76,158.7,4.31,127,1,,,,
5557,F,16,2,3.3,32,24,10.5,71,257,52,7.9,6.3,5.4,131,157.4,4.57,122.9,1.15,,,,
