Strain,Sex,Age,ID,WBC x10^3/uL,RBC x10^6/uL,HGB g/dL,HGBCell g/dL,HCT %,MCV fL,MCH pg,MCHC g/dL,CH pg,CHCM g/dL,RDW %,HDW g/dL,PLT x10^3/uL,PDW% %,MPV fL,MPM pg,%NEUT ,%LYMPH ,%MONO ,%EOS ,%BASO ,%LUC ,%RETIC ,#RETIC 10^9cells/L,CHR pg,CHm pg,#NEUT 10^3cells/ul,#LYMPH 10^3cells/ul,#MONO 10^3cells/ul,#EOS 10^3cells/ul,#BASO 10^3cells/ul,#LUC 10^3cells/ul,,,,,,,,,
5557,F,8,11,0.44,5.93,9.5,8.5,28.5,48.1,16.0,33.3,14.3,29.8,13.5,2.37,509,41.5,5.1,1.24,71.7,10.6,2.6,11.6,0.8,3.5,4.15,246.2,16.1,14.8,0.32,0.05,0.01,0.05,0.00,0.02,,,,,,,,,
5557,F,8,12,1.74,7.15,10.6,,34.0,47.6,14.8,31.2,,,17.8,,937,,4.9,,49.4,27.6,12.8,8.6,1.6,,,,,,0.86,0.48,0.22,0.15,0.03,,,,,,,,,,
5557,F,8,13,1.68,7.11,11.1,,34.3,48.2,15.6,32.4,,,17.2,,962,,5.2,,49.1,24.4,19.7,4.7,2.1,,,,,,0.82,0.41,0.33,0.08,0.04,,,,,,,,,,
5557,F,8,14,1.38,7.08,11.4,,35.3,49.9,16.1,32.3,,,18.5,,1204,,4.7,,51.9,24.0,17.8,5.2,1.1,,,,,,0.72,0.33,0.25,0.07,0.02,,,,,,,,,,
5557,F,8,15,0.54,7.18,11.0,,33.8,47.1,15.3,32.5,,,17.6,,1023,,5.0,,34.9,36.4,25.5,3.2,0.0,,,,,,0.19,0.20,0.14,0.02,0.00,,,,,,,,,,
5557,F,8,16,1.34,7.14,11.2,,34.6,48.4,15.7,32.4,,,17.9,,820,,4.6,,39.0,28.9,29.1,2.3,0.7,,,,,,0.52,0.39,0.39,0.03,0.01,,,,,,,,,,
5557,F,8,17,1.44,6.89,10.4,,34.4,49.9,15.1,30.2,,,17.7,,892,,4.6,,38.3,32.3,23.6,4.3,1.5,,,,,,0.55,0.47,0.34,0.06,0.02,,,,,,,,,,
5557,F,8,18,1.30,6.98,11.2,,35.2,50.4,16.0,31.8,,,18.8,,918,,4.8,,47.2,24.3,26.0,2.2,0.3,,,,,,0.61,0.32,0.34,0.03,0.00,,,,,,,,,,
5557,F,8,19,0.66,7.07,10.9,,34.7,49.1,15.4,31.4,,,18.9,,876,,4.8,,32.9,38.1,22.8,4.0,2.3,,,,,,0.22,0.25,0.15,0.03,0.02,,,,,,,,,,
5557,F,8,20,1.86,7.47,11.5,,36.3,48.6,15.4,31.7,,,17.9,,699,,5.2,,54.5,19.4,23.7,2.0,0.4,,,,,,1.01,0.36,0.44,0.04,0.01,,,,,,,,,,
5557,M,8,1,0.39,7.25,11.3,10.2,33.8,46.6,15.6,33.5,14.0,30.1,13.9,2.52,1172,40.2,5.2,1.26,56.8,32.3,3.4,6.6,0.3,0.9,4.09,296.6,16.1,14.4,0.22,0.13,0.01,0.03,0,0,,,,,,,,,
5557,M,8,2,0.49,7.73,12.3,10.9,37.8,48.9,15.9,32.6,14.1,29.0,13.0,2.30,1417,45.6,5.6,1.24,64.1,16.0,5.6,13.4,0.0,0.9,3.31,255.4,16,14.7,0.32,0.08,0.03,0.07,0,0,,,,,,,,,
